club_id	name	club_type	host_school	city	postal_code	website	meeting_note	status	status_note
4-h-fallbrook	Fallbrook 4-H	4-h		Fallbrook	92028		San Diego County 4-H community club, Fallbrook/Bonsall/Rainbow area; general multi-project club (livestock/animal science, STEM, and other 4-H project areas chosen by members).	active
4-h-surfside	Surfside 4-H	4-h	Vista Antique Steam Engine Museum	Vista	92083	https://www.surfside4h.net	Meets at the Vista Antique Steam Engine Museum, 2040 N Santa Fe Ave; serves the Oceanside/Carlsbad/Vista area; general multi-project club (health, science, agriculture, civic engagement).	active
4-h-valley-center	Valley Center 4-H	4-h		Valley Center	92082		San Diego County 4-H community club, Valley Center/Pala/Pauma Valley area; general multi-project club.	active
4-h-valley-center-country	Valley Center Country 4-H	4-h		Valley Center	92082		San Diego County 4-H community club, Valley Center/Pala/Pauma Valley area; second, distinct club serving the same area; general multi-project club.	active
4-h-san-dieguito	San Dieguito 4-H	4-h	Olivenhain Meeting Hall	Encinitas	92024	https://www.sandieguito4h.com	Meets at the Olivenhain Meeting Hall, 620 Melba Rd, first Thursday of the month; project areas include entomology, poultry, culinary arts, market animals, and outdoor adventure. Serving San Diego County for over 70 years.	active
4-h-56-ranchers	56 Ranchers 4-H	4-h		Escondido	92025		San Diego County 4-H community club, Escondido/San Marcos/Rancho Bernardo area; general multi-project club; no independent club website found.	active
4-h-poway	Poway 4-H	4-h		Poway	92064	https://poway4h.weebly.com	Penasquitos/Poway/Carmel Mountain area; project areas include animal science/livestock (goats, pigs, rabbits, chickens, horses, dogs), STEM/veterinary science, archery, gardening, and leadership.	active
4-h-ramona-paisanos	Ramona Paisanos 4-H	4-h		Ramona	92065		San Diego County 4-H community club, Ramona area; general multi-project club.	active
4-h-ramona-stars	Ramona Stars 4-H	4-h	Ramona Junior Fairgrounds	Ramona	92065	https://ramonastars4h.org	Meets 2nd Wednesday of the month, 7pm, at the Ramona Junior Fairgrounds; hands-on experiential learning across health, science, agriculture, and community service.	active
4-h-ramona-wranglers	Ramona Wranglers 4-H	4-h		Ramona	92065		San Diego County 4-H community club, Ramona area; general multi-project club.	active
4-h-santa-ysabel-julian	Santa Ysabel/Julian 4-H	4-h		Julian	92036		San Diego County 4-H community club, Santa Ysabel/Julian/Cuyamaca area; general multi-project club.	active
4-h-manzanita	Manzanita 4-H	4-h		Lakeside	92040		San Diego County 4-H community club, El Cajon/Lakeside/Santee area; general multi-project club.	active
4-h-sagebrush	Sagebrush 4-H	4-h		El Cajon	92021		San Diego County 4-H community club, El Cajon/Lakeside/Santee area; general multi-project club.	active
4-h-japatul	Japatul 4-H	4-h		Alpine	91901		San Diego County 4-H community club, Alpine/Japatul/Descanso area; general multi-project club.	active
