number	name	program	organization	area	district
29255	Meeps	Explore	& Family/Community	San Diego (home / sponsor-backed)	—
71667	We Dig Legos	Challenge	Apple & Family/Community	San Diego (home / sponsor-backed)	—
72139	Autra Older Team	Challenge	Autra Academy	Carmel Valley 92130 + La Jolla 92037	Private academy
72141	Autra Younger Team	Challenge	Autra Academy	Carmel Valley 92130 + La Jolla 92037	Private academy
74482	Diggin' Dynamos	Challenge	Carmel Del Mar Elementary	Carmel Valley (92130)	Del Mar Union SD
62466	Project Excavators	Challenge	Carmel Valley Middle & Pacific Trails Middle	Carmel Valley (92130)	San Dieguito Union HSD
65412	seaSTARZ	Challenge	Carmel Valley Middle & Pacific Trails Middle	Carmel Valley (92130)	San Dieguito Union HSD
70629	Raise the Bar Robotics	Challenge	DoD STEM & Family/Community & Raise the Bar Robotics	San Diego (home / sponsor-backed)	—
26385	Nathan, Erdem, Stella & Jasper - name TBD	Explore	Family/Community	San Diego (home team — not published)	—
28839	Camping Coders	Explore	Family/Community	San Diego (home team — not published)	—
31140	Tardigrades	Explore	Family/Community	San Diego (home team — not published)	—
33935	Robotic Tigers	Explore	Family/Community	San Diego (home team — not published)	—
34100	Leggo My LEGO	Explore	Family/Community	San Diego (home team — not published)	—
34119	Legend Builders	Explore	Family/Community	San Diego (home team — not published)	—
34178	Little Bard	Explore	Family/Community	San Diego (home team — not published)	—
34268	oceanAirSharkaeologists	Explore	Family/Community	San Diego (home team — not published)	—
34339	Brick City	Explore	Family/Community	San Diego (home team — not published)	—
34398	LEGO Pros	Explore	Family/Community	San Diego (home team — not published)	—
34716	Team W	Explore	Family/Community	San Diego (home team — not published)	—
55568	MasterMind	Challenge	Family/Community	San Diego (home team — not published)	—
57596	MY∞	Challenge	Family/Community	San Diego (home team — not published)	—
60029	Maximum Voltage	Challenge	Family/Community	San Diego (home team — not published)	—
60363	Rover	Challenge	Family/Community	San Diego (home team — not published)	—
60406	Robotastic Smurfs	Challenge	Family/Community	San Diego (home team — not published)	—
61520	LIT	Challenge	Family/Community	San Diego (home team — not published)	—
62275	Mosaic	Challenge	Family/Community	San Diego (home team — not published)	—
65108	Random Guys that Decided to Dig	Challenge	Family/Community	San Diego (home team — not published)	—
65610	LEGO Challengers	Challenge	Family/Community	San Diego (home team — not published)	—
67973	ERobot	Challenge	Family/Community	San Diego (home team — not published)	—
71270	Boarding Bot Builders	Challenge	Family/Community	San Diego (home team — not published)	—
71350	BrickTank	Challenge	Family/Community	San Diego (home team — not published)	—
71684	DragonGirls	Challenge	Family/Community	San Diego (home team — not published)	—
71764	The Dum-Dums	Challenge	Family/Community	San Diego (home team — not published)	—
72079	LEGO Lunatics	Challenge	Family/Community	San Diego (home team — not published)	—
72310	Ironbots	Challenge	Family/Community	San Diego (home team — not published)	—
72741	TektonTitans	Challenge	Family/Community	San Diego (home team — not published)	—
30995	Tech Titans	Explore	Mission Bay Montessori Academy & Sage Canyon Elementary School & Monterey Ridge Elementary	Carmel Valley (92130)	Del Mar Union SD
31453	DreamBuilders	Explore	Ocean Air	Carmel Valley (92130)	Del Mar Union SD
71599	Idea Architects	Challenge	Pacific Sky	Pacific Highlands Ranch (92130)	Del Mar Union SD
66741	The Coral Coders	Challenge	Pacific Trails Middle	Pacific Highlands Ranch (92130)	San Dieguito Union HSD
59878	LEGO Legacy	Challenge	Qualcom & Family/Community	San Diego (home / sponsor-backed)	—
57608	DigiDactles	Challenge	Qualcomm & Stone Ranch Elementary & Pacific Trails Middle	Pacific Highlands Ranch (92130)	San Dieguito Union HSD
29024	Robo-Stallions	Challenge	Qualcomm Technologies Inc & Sycamore Ridge Elementary Sch	Santaluz / PHR (92127)	Del Mar Union SD
28787	Sandpipers	Explore	Solana Highlands Elem School	Carmel Valley / Solana Beach (92130/75)	Solana Beach SD
60864	Team Imagination	Challenge	Solana Pacific Elementary Sch	Carmel Valley (92130)	Solana Beach SD
56100	Voyagers	Challenge	Solana Ranch Elementary School & Pacific Trails Middle School	Pacific Highlands Ranch (92130)	San Dieguito Union HSD
71475	Ancient Cyborgs	Challenge	Torrey Hills	Torrey Hills (92130)	Del Mar Union SD
31571	LEGO-tastic Explorers	Explore	Torrey Hills & Carmel Creek Elementary	Torrey Hills (92130)	Del Mar Union SD
