league	program	number	name	organization	org_type	city	postal_code	website
MATHCOUNTS	MATHCOUNTS	black-mountain-middle	MATHCOUNTS Team at Black Mountain Middle School	Black Mountain Middle School	school	San Diego	92129	
MATHCOUNTS	MATHCOUNTS	carmel-valley-middle	MATHCOUNTS Team at Carmel Valley Middle School	Carmel Valley Middle School	school	San Diego	92130	
MATHCOUNTS	MATHCOUNTS	design-39-campus	MATHCOUNTS Team at Design 39 Campus	Design 39 Campus	school	San Diego	92127	
MATHCOUNTS	MATHCOUNTS	francis-parker	MATHCOUNTS Team at Francis Parker School	Francis Parker School	school	San Diego	92111	
MATHCOUNTS	MATHCOUNTS	meadowbrook-middle	MATHCOUNTS Team at Meadowbrook Middle School	Meadowbrook Middle School	school	Poway	92064	
MATHCOUNTS	MATHCOUNTS	mesa-verde-middle	MATHCOUNTS Team at Mesa Verde Middle School	Mesa Verde Middle School	school	San Diego	92129	
MATHCOUNTS	MATHCOUNTS	muirlands-middle	MATHCOUNTS Team at Muirlands Middle School	Muirlands Middle School	school	La Jolla	92037	
MATHCOUNTS	MATHCOUNTS	oak-valley-middle	MATHCOUNTS Team at Oak Valley Middle School	Oak Valley Middle School	school	San Diego	92127	
MATHCOUNTS	MATHCOUNTS	pacific-trails-middle	MATHCOUNTS Team at Pacific Trails Middle School	Pacific Trails Middle School	school	San Diego	92130	
MATHCOUNTS	MATHCOUNTS	san-diego-french-american	MATHCOUNTS Team at San Diego French American School	San Diego French American School	school	La Jolla	92037	
MATHCOUNTS	MATHCOUNTS	sycamore-ridge	MATHCOUNTS Team at Sycamore Ridge School	Sycamore Ridge School	school	San Diego	92130	
MATHCOUNTS	MATHCOUNTS	bishops-school	MATHCOUNTS Team at The Bishop's School	The Bishop's School	school	La Jolla	92037	
MATHCOUNTS	MATHCOUNTS	thurgood-marshall-middle	MATHCOUNTS Team at Thurgood Marshall Middle School	Thurgood Marshall Middle School	school	San Diego	92131	
