league	program	number	name	organization	org_type	city	postal_code	website
SCIOLY	Science Olympiad	canyon-crest-academy	Science Olympiad Team at Canyon Crest Academy	Canyon Crest Academy	school	San Diego	92130	
SCIOLY	Science Olympiad	del-norte-high	Science Olympiad Team at Del Norte High School	Del Norte High School	school	San Diego	92127	
SCIOLY	Science Olympiad	westview-high	Science Olympiad Team at Westview High School	Westview High School	school	San Diego	92129	
SCIOLY	Science Olympiad	scripps-ranch-high	Science Olympiad Team at Scripps Ranch High School	Scripps Ranch High School	school	San Diego	92131	
SCIOLY	Science Olympiad	torrey-pines-high	Science Olympiad Team at Torrey Pines High School	Torrey Pines High School	school	San Diego	92130	
SCIOLY	Science Olympiad	rancho-bernardo-high	Science Olympiad Team at Rancho Bernardo High School	Rancho Bernardo High School	school	San Diego	92128	
SCIOLY	Science Olympiad	mt-carmel-high	Science Olympiad Team at Mt. Carmel High School	Mt. Carmel High School	school	San Diego	92128	
SCIOLY	Science Olympiad	university-city-high	Science Olympiad Team at University City High School	University City High School	school	San Diego	92122	
SCIOLY	Science Olympiad	la-costa-canyon-high	Science Olympiad Team at La Costa Canyon High School	La Costa Canyon High School	school	Carlsbad	92009	
SCIOLY	Science Olympiad	bishops-school	Science Olympiad Team at The Bishop's School	The Bishop's School	school	La Jolla	92037	
SCIOLY	Science Olympiad	grauer-school	Science Olympiad Team at The Grauer School	The Grauer School	school	Encinitas	92024	
SCIOLY	Science Olympiad	sage-creek-high	Science Olympiad Team at Sage Creek High School	Sage Creek High School	school	Carlsbad	92009	
SCIOLY	Science Olympiad	la-jolla-high	Science Olympiad Team at La Jolla High School	La Jolla High School	school	La Jolla	92037	
SCIOLY	Science Olympiad	rancho-buena-vista-high	Science Olympiad Team at Rancho Buena Vista High School	Rancho Buena Vista High School	school	Vista	92081	
SCIOLY	Science Olympiad	san-marcos-high	Science Olympiad Team at San Marcos High School	San Marcos High School	school	San Marcos	92069	
SCIOLY	Science Olympiad	san-dieguito-academy	Science Olympiad Team at San Dieguito High School Academy	San Dieguito High School Academy	school	Encinitas	92024	
SCIOLY	Science Olympiad	mira-mesa-high	Science Olympiad Team at Mira Mesa High School	Mira Mesa High School	school	San Diego	92126	
SCIOLY	Science Olympiad	poway-high	Science Olympiad Team at Poway High School	Poway High School	school	Poway	92064	
SCIOLY	Science Olympiad	academy-our-lady-of-peace	Science Olympiad Team at Academy of Our Lady of Peace	Academy of Our Lady of Peace	school	San Diego	92116	
SCIOLY	Science Olympiad	carlsbad-high	Science Olympiad Team at Carlsbad High School	Carlsbad High School	school	Carlsbad	92008	
SCIOLY	Science Olympiad	pacific-ridge-school	Science Olympiad Team at Pacific Ridge School	Pacific Ridge School	school	Carlsbad	92009	
SCIOLY	Science Olympiad	olympian-high	Science Olympiad Team at Olympian High School	Olympian High School	school	Chula Vista	91913	
SCIOLY	Science Olympiad	preuss-school	Science Olympiad Team at The Preuss School UC San Diego	The Preuss School UC San Diego	school	La Jolla	92093	
SCIOLY	Science Olympiad	cathedral-catholic-high	Science Olympiad Team at Cathedral Catholic High School	Cathedral Catholic High School	school	San Diego	92130	
