School	City	Zip	Latitude	Longitude	Vintages
10X Academy	Escondido	92025	33.127434	-117.089933	2023-24
Academy Of Our Lady Of Peace	San Diego	92116	32.765300	-117.135661	2021-22,2023-24
Aces 2020 Llc Dba: Aces Academy	San Diego	92103	32.745780	-117.159191	2021-22
All Hallows Academy	La Jolla	92037	32.834329	-117.249783	2021-22,2023-24
Alpha And Omega Academy	Fallbrook	92028	33.383310	-117.250551	2021-22,2023-24
Army & Navy Academy	Carlsbad	92008	33.162935	-117.354675	2021-22,2023-24
Arrow Academy	Escondido	92025	33.069321	-117.010796	2023-24
Aseltine School	San Diego	92103	32.751380	-117.147750	2021-22,2023-24
Aspirations School Of Learning	Carlsbad	92009	33.121560	-117.266071	2021-22,2023-24
Balboa School	Escondido	92025	33.122187	-117.079677	2021-22,2023-24
Banya Tree Compass Academy	San Diego	92106	32.740426	-117.215357	2021-22
Banyan Tree Foundations Academy	San Diego	92106	32.737520	-117.214161	2021-22
Berean Bible Baptist Academy	Chula Vista	91910	32.637730	-117.086801	2021-22,2023-24
Beth Montessori	La Jolla	92037	32.865430	-117.238601	2021-22,2023-24
Big Tree Little Preschool Kindergarten	Vista	92081	33.167993	-117.245972	2021-22,2023-24
Bonita Learning Academy	Chula Vista	91910	32.650180	-117.051731	2021-22,2023-24
Bright Horizon Academy	San Diego	92111	32.820490	-117.165901	2021-22,2023-24
Bright Horizon Academy	San Diego	92120	32.802174	-117.079160	2023-24
Brookshire International Academy	La Mesa	91942	32.763807	-117.022910	2021-22,2023-24
Building Kidz Of Vista	Vista	92084	33.228120	-117.232171	2023-24
Cal Coast Academy	San Diego	92130	32.940286	-117.218862	2021-22,2023-24
California Accelerated Learning Institute	Oceanside	92056	33.181308	-117.313074	2021-22
Calvary Christian Academy	Chula Vista	91913	32.632390	-116.983901	2021-22,2023-24
Carlsbad Christian Academy	Carlsbad	92008	33.167450	-117.334651	2021-22,2023-24
Carlsbad Country Day School	Carlsbad	92008	33.142850	-117.304731	2021-22,2023-24
Carmel Valley Montessori School	San Diego	92130	32.947956	-117.231314	2023-24
Casa Montessori De Carlsbad	Carlsbad	92008	33.155670	-117.342041	2021-22,2023-24
