School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
ALBA	San Diego Unified	San Diego	92104	www.alba.sandiegounified.org/	32.751186	-117.135090	Active	C
Abraxas Continuation High	Poway Unified	Poway	92064	www.powayusd.com/pusdahs	32.973675	-117.060880	Active	C
Ada W. Harris Elementary	Cardiff Elementary	Cardiff-by-the-Sea	92007	No Data	33.031280	-117.273490	Active	N
Adams Elementary	San Diego Unified	San Diego	92116	www.adams.sandiegounified.org/	32.761560	-117.117860	Active	N
Adobe Bluffs Elementary	Poway Unified	San Diego	92129	www.powayusd.com/pusdabes	32.974268	-117.140390	Active	N
Alamosa Park Elementary	Vista Unified	Oceanside	92057	http://ape.vistausd.org	33.239596	-117.281120	Active	N
Albert Einstein Academies	San Diego Unified	San Diego	92102	www.aeacs.org/	32.720125	-117.130320	Active	N
Alcott Elementary	San Diego Unified	San Diego	92117	www.alcott.sandiegounified.org/	32.832566	-117.221730	Active	N
All Tribes Charter	Warner Unified	Valley Center	92082	www.alltribescharter.net	33.277583	-116.953710	Active	N
All Tribes Elementary Charter	Warner Unified	Valley Center	92082	No Data	33.277583	-116.953710	Active	N
Allen (Ella B.) Elementary	Chula Vista Elementary	Bonita	91902	https://allen.cvesd.org/	32.656765	-117.033580	Active	N
Alta Vista Academy	Sweetwater Union High	Chula Vista	91911	www.sweetwaterschools.org	32.618720	-117.024450	Active	N
Alta Vista High (Continuation)	Vista Unified	Vista	92084	http://avhs.vistausd.org	33.222471	-117.219600	Active	N
Altus Schools Charter School of San Diego	San Diego Unified	San Diego	92121	https://charterschool-sandiego.net/	32.902951	-117.183790	Active	N
Altus Schools Coastal	San Diego County Office of Education	Oceanside	92056	www.audeo2.com	33.180779	-117.291370	Active	N
Altus Schools East County	Grossmont Union High	El Cajon	92020	www.grossmontsecondarycharter.com	32.806734	-116.963050	Active	N
Altus Schools North County	Escondido Union High	Escondido	92025	www.audeo3.com	33.070485	-117.064920	Active	N
Altus Schools South Bay	San Diego County Office of Education	Chula Vista	91910	www.altussouthbay.com	32.648779	-117.053380	Active	N
America's Finest Charter	San Diego Unified	San Diego	92102	www.americasfinestcharterschool.org/	32.712836	-117.098080	Active	N
Angier Elementary	San Diego Unified	San Diego	92123	https://angier.sandiegounified.org/	32.804911	-117.145340	Active	N
Anza Elementary	Cajon Valley Union	El Cajon	92020	No Data	32.786000	-116.947800	Active	N
Arroyo Vista Charter	Chula Vista Elementary	Chula Vista	91915	https://arroyovista.cvesd.org/	32.638128	-116.952520	Active	N
Ashley Falls Elementary	Del Mar Union Elementary	San Diego	92130	www.dmusd.org/af	32.957549	-117.207810	Active	N
Audubon K-8	San Diego Unified	San Diego	92114	www.audubon.sandiegounified.org/	32.711210	-117.030080	Active	N
Aviara Oaks Elementary	Carlsbad Unified	Carlsbad	92009	https://aoes.carlsbadusd.net/	33.101346	-117.276670	Active	N
Aviara Oaks Middle	Carlsbad Unified	Carlsbad	92011	https://aoms.carlsbadusd.net	33.103077	-117.278940	Active	N
Avocado Elementary	Cajon Valley Union	La Mesa	91941	No Data	32.750432	-116.960750	Active	N
Avondale Elementary	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.719139	-117.017270	Active	N
Baker Elementary	San Diego Unified	San Diego	92113	www.baker.sandiegounified.org/	32.698826	-117.107110	Active	N
